CC_Pop,avg_nuclei,rerun16,Sample_ID,HEXTag,DECTag,DPH,Sex,FLeng_mm,TLeng_mm,mass_g,K,SGR,DNA_pg,Celltype,Smear_Pop,Smr_samp,Diam_um,avg_volume_um3,avg_volume_uL,avg_surface_um2,SAVratio,Event_,n_CC,avg_allTLmm,allTL_sd,allTL_max,allTL_min,avg_allFLmm,allFL_sd,allFL_max,allFL_min,avg_allg,allg_sd,allg_max,allg_min,avg_allk,allK_sd,allK_max,allK_min,avg_allsgr,allsgr_sd,allsgr_max,allsgr_min,avg_allploidy,allploid_sd,allploid_max,allploid_min,avg_8ploidy,max_ploid,min_ploid,sd_ploid,avg_NDiam,sd_NDiam,min_NDiam,max_NDiam,avg_CDiam,sd_CDiam,min_CDiam,max_CDiam,avg_SCDiam,sd_SCDiam,min_SCDiam,max_SCDiam,avg_SNDiam,sd_SNDiam,min_SNDiam,max_SNDiam,n_smear,avg_Nvol_um3,sd_Nvol_um3,min_Nvol_um3,max_Nvol_um3,avg_Cvol_um3,sd_Cvol_um3,min_Cvol_um3,max_Cvol_um3,avg_Nvol_uL,sd_Nvol_uL,min_Nvol_uL,max_Nvol_uL,avg_Cvol_uL,sd_Cvol_uL,min_Cvol_uL,max_Cvol_uL,avg_Nsurf_um2,sd_Nsurf_um2,min_Nsurf_um2,max_Nsurf_um2,avg_Csurf_um2,sd_Csurf_um2,min_Csurf_um2,max_Csurf_um2,avg_CSAV,sd_CSAV,min_CSAV,max_CSAV,avg_NSAV,sd_NSAV,min_NSAV,max_NSAV
PDB,48.4069,,F133,,,,,1044,1161,10886,0.695619376,,,avg_nuclei,UMFeb,A4,14.6093,735.5643376,7.35564E-07,112.5163425,0.152966011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,G134,,,,,1245,1390,19051,0.709370912,,,avg_nuclei,UMFeb,A5,13.59258,645.2725512,6.45273E-07,101.6513416,0.157532412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,G135,,,,,1252,1385,20865,0.785360526,,,avg_nuclei,UMFeb,A6,12.9085,480.4298736,4.8043E-07,85.47585663,0.177915366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.6247,,H141_mort,,,,FF,1280,1390,24040,0.895138141,,,avg_nuclei,UMFeb,B1,12.37843,470.5431397,4.70543E-07,82.83675462,0.176044974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,C143,,,,,845,950,5000,0.58317539,,,avg_nuclei,UMFeb,B2,14.14328,596.3637172,5.96364E-07,99.68303366,0.167151406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,C144,,,,,1085,1213,9200,0.515472409,,,avg_nuclei,UMFeb,B3,13.72568,583.4080717,5.83408E-07,97.127838,0.166483535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,B147,,,,,876,983,4600,0.48428083,,,avg_nuclei,UMFeb,B4,13.1211,479.1417742,4.79142E-07,86.06126219,0.179615443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,B148,,,,,1055,1185,7700,0.462738542,,,avg_nuclei,UMFeb,B5,15.00843,783.7035271,7.83704E-07,117.7156223,0.150204278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,B149,,,,,829,920,4000,0.513684557,,,avg_nuclei,UMFeb,B7,14.84878,795.8883224,7.95888E-07,117.9945703,0.148255185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,B150,,,,,1205,1343,16783,0.692853726,,,avg_nuclei,UMFeb,C2,13.44133,489.2323474,4.89232E-07,88.0175497,0.179909506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,B151,,,,F,1152,1278,17690,0.847491345,,,avg_nuclei,UMFeb,C3,15.20863,798.9967035,7.98997E-07,119.6487349,0.149748722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,B152,,,,,971,1090,7500,0.57913761,,,avg_nuclei,UMFeb,C4,16.09988,945.9536677,9.45954E-07,133.9481817,0.141601208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,A153,,,,F,1000,1141,7100,0.477970855,,,avg_nuclei,UMFeb,C5,15.79543,870.3543569,8.70354E-07,127.2636429,0.146220493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.0158,,A154,,,,,900,1000,6350,0.635,,,avg_nuclei,UMFeb,C10,15.9578,852.8882272,8.52888E-07,126.6260731,0.148467371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,A157,,,,,915,1040,6350,0.564512688,,,avg_nuclei,UMFeb,D1,15.60895,741.7534411,7.41753E-07,116.7904145,0.1574518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,A158,,,,,940,1040,6100,0.542287779,,,avg_nuclei,UMFeb,D2,13.2416,508.6679624,5.08668E-07,89.07954604,0.17512317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
